nft_number,name,character,movie_tv,description,image,cafe_link,display_label,nft_rec_id,suggest_edit_url,Quotes,Suggested_Edits
51,Benjamin Bratt,Paco Aguilar,"Blood In, Blood Out","
A character in Blood In, Blood Out (1993), known as one of three friends whose lives are pulled into gang culture, loyalty, and betrayal.",51_batch_1.svg (https://cdn.xrp.cafe/454f95a619ce-4e31-94d1-24744f50752748823036ea74-4b53-bfb2-9b66ed4edcc78d737663f6b3-4680-ade7-f4988b65f716.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A68411461E05DE4983,"NFT #51 — Benjamin Bratt as Paco Aguilar (Blood In, Blood Out)",recRTqp8eBC7zubfP,/suggest-edit?nft_number=51,,
52,Willie Nelson,,,"
Country music legend, known for his outlaw image, classics like “On the Road Again,” and enduring influence on American music.",52_batch_1.svg (https://cdn.xrp.cafe/dad437040742-447a-a4de-e9f9e93e4af2952dd3a40e5e-4b86-9351-91ca3454a83f8b95eaf5453f-4aa0-8060-36a112cff56e.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A69AF7171F05DE4984,NFT #52 — Willie Nelson,recrpDoWvgB9icqen,/suggest-edit?nft_number=52,,
53,Hugo Weaving,Guy Fawkes,V for Vendetta,"A masked revolutionary and strategist, renowned for orchestrating high-profile acts of defiance against oppressive regimes. Fearless and methodical, he operates with precision and theatrical flair, aiming to dismantle corruption and inspire societal change through bold, symbolic actions.",53_batch_1.svg (https://cdn.xrp.cafe/027c77765ffd-4ac3-a53c-2a7ba5d5ba35a893c781fca5-4b64-ac43-d26d19b2becd2119690e540a-4e13-a3de-8e2374381a38.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6B1DCE82005DE4985,NFT #53,recRr5sfVOFmVf28l,/suggest-edit?nft_number=53,,
54,Sylvester Stallone,,,"Action movie icon, known for creating and starring in the Rocky and Rambo franchises, symbolizing grit and determination on screen.",54_batch_1.svg (https://cdn.xrp.cafe/29fb44df3da0-495f-992c-95447b47f735d1d6ac875131-4867-ad2f-75bf3d2ee3749f88e1719111-4a3d-ad9e-dc14b8bdc358.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6C8C2B92105DE4986,NFT #54 — Sylvester Stallone,recpkvm5cJl3M4sw1,/suggest-edit?nft_number=54,,
55,Mr. T,,,"Pop culture icon of the 1980s, known for playing Clubber Lang in Rocky III, B.A. Baracus in The A-Team, and his trademark mohawk and gold chains.",55_batch_1.svg (https://cdn.xrp.cafe/4ab275e6525b-4a1a-9606-7dd7f4ced7be4707f7ddc66d-431d-8838-c9dab2f054ee1176e1e8236c-46f6-b066-52db89a40c16.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6DFA88A2205DE4987,NFT #55 — Mr. T,rec9KUIVrozFcuBDQ,/suggest-edit?nft_number=55,,
56,Mel Gibson,,,"Actor and filmmaker, known for blockbuster roles in Mad Max and Lethal Weapon, and for directing the Academy Award–winning epic Braveheart.",56_batch_1.svg (https://cdn.xrp.cafe/471f39943c9b-4eab-a079-cd6fcccd15cf6c5a599702c9-4615-919a-b8826ea3dfabd17fd117a03d-45d0-95d1-680c15a6d527.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6F68E5B2305DE4988,NFT #56 — Mel Gibson,receiBqO8fGhWzUji,/suggest-edit?nft_number=56,,
57,John Goodman,Walter Sobchak,The Big Lebowski,"Acclaimed actor, known for his long-running role in Roseanne and standout performances in films like The Big Lebowski and O Brother, Where Art Thou?",57_batch_1.svg (https://cdn.xrp.cafe/1c04b11d0040-4e74-a3db-7d8e51cbd255873f162b8b92-48bc-a660-db0d63b6e19b3eff42c72aaf-4145-9d83-d31f924742a0.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A60D742C2405DE4989,NFT #57 — John Goodman,recCakRayZ1CNT2Gy,/suggest-edit?nft_number=57,,
58,Jim Carrey,Ace Ventura,Ace Ventura,"Eccentric pet detective from the Ace Ventura films, known for outrageous humor, wild antics, and solving bizarre animal-related cases.
",58_batch_1.svg (https://cdn.xrp.cafe/dca7d3297488-4a84-a30f-774e9d237c1884109d5aaf6a-4282-8188-39bacf470e38035c36313a97-4713-b271-a85a6f34c651.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A62459FD2505DE498A,NFT #58 — Jim Carrey as Ace Ventura (Ace Ventura),recWl0syO3LoaCSJy,/suggest-edit?nft_number=58,,
59,Gwen Stefani,,,"Singer and fashion icon, known for leading the band No Doubt, her solo hits like “Hollaback Girl,” and her bold, trend-setting style.",59_batch_1.svg (https://cdn.xrp.cafe/2d6835dcc5d5-4b3a-abfd-574a19305cc40004baa41c50-44fc-acf9-11d46652411953d34af260b9-4140-b56a-368797da2e29.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A63B3FCE2605DE498B,NFT #59 — Gwen Stefani,rec2XhhhKxNl1GfBP,/suggest-edit?nft_number=59,,
60,Bo Jackson,,,"Legendary multi-sport athlete, known for excelling in both MLB and NFL, his incredible speed and power, and the iconic “Bo Knows” advertising campaign.",60_batch_1.svg (https://cdn.xrp.cafe/49e691b30199-4285-bd8b-146ededb560c86e46f6e77f0-4aef-8ac2-4bfa4f73a1d40d75319ed38e-45b4-b34f-9684949f3f47.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A652259F2705DE498C,NFT #60 — Bo Jackson,recdVaZ1R1rlHWFkR,/suggest-edit?nft_number=60,,
61,,,,,61_batch_1.svg (https://cdn.xrp.cafe/30bea17c8e7d-4967-8522-025a7287812e0df575cb1d95-45a1-82ee-fc746c8f7620a3d147db9e3b-454d-8c05-041dc495a81c.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6690B702805DE498D,NFT #61,rec9GiNYs7DxROSXi,/suggest-edit?nft_number=61,,
62,Robin Willams,,,"Beloved actor and comedian, known for his improvisational genius, unforgettable roles in Good Will Hunting and Mrs. Doubtfire, and his boundless energy on stage and screen.
",62_batch_1.svg (https://cdn.xrp.cafe/e77dd59b2b2e-4c9c-9f30-fb4f323bb21faa7153d44e6c-49ff-8fac-210646a9cf153bd0e339d277-4545-a1eb-35d7f50e01f2.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A67FF1412905DE498E,NFT #62 — Robin Willams,recGppZFf8O1NwIbM,/suggest-edit?nft_number=62,,
63,James Franco,,,"Actor and filmmaker, known for roles in 127 Hours and the Spider-Man trilogy, as well as his versatile work across film, television, and art projects.
",63_batch_1.svg (https://cdn.xrp.cafe/2bc58c3a02d1-42af-81a4-e40d659ad3969fa716cb385a-4239-9556-9784d8b1f60cb2f0d461c227-4d36-952c-35365a0aaa75.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A696D7122A05DE498F,NFT #63 — James Franco,recvIANgeFrfZblSZ,/suggest-edit?nft_number=63,,
64,Bruce Willis,,,"Actor and action star, known for his role as John McClane [Die Hard] and his tough, charismatic performances in numerous blockbuster films.",64_batch_1.svg (https://cdn.xrp.cafe/202aa1855b30-4251-b036-359b908b7c33ebd1286fad7c-48a2-a7f1-fceb18c501ee6dd96eb66d78-43cd-84f6-6d7b65bf51e0.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6ADBCE32B05DE4990,NFT #64 — Bruce Willis,recskh2CEho8MGP1v,/suggest-edit?nft_number=64,,
65,Robert F. Kennedy,,,"American politician and attorney, known for serving as U.S. Attorney General, his advocacy for civil rights, and his presidential campaign before his assassination in 1968.
",65_batch_1.svg (https://cdn.xrp.cafe/581734ca0ff2-44ac-97cb-e7748e3ce66ff05818f50cfe-4e24-abe8-cb89d622446133f479fe95c5-4a91-bcac-bc3d083467ed.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6C4A2B42C05DE4991,NFT #65 — Robert F. Kennedy,recZXoT9xSKsa9mrY,/suggest-edit?nft_number=65,,
66,Marcus Aurelius.,,,"
Roman emperor (161–180 AD) and Stoic philosopher, known for writing Meditations and leading the empire through wars while embodying wisdom and discipline.",66_batch_1.svg (https://cdn.xrp.cafe/59323e5f539c-4405-a9eb-307206e69288ce86e67d43c2-4356-ad1c-5febfde7d2e9580475f0601b-4e13-9e4d-2e2aa9433ed4.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6DB88852D05DE4992,NFT #66 — Marcus Aurelius.,recAB5FlpTd2z6rcB,/suggest-edit?nft_number=66,,
67,,,,,67_batch_1.svg (https://cdn.xrp.cafe/57fb836f6931-4e06-aadb-eeb07c0c455f515dc8a6234e-42a4-8844-623756e6b49c6027f91359ce-4bfb-a5b6-7f84538a6c8f.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6F26E562E05DE4993,NFT #67,recIgHWYEyu3eOQjU,/suggest-edit?nft_number=67,,
68,John Travolta,,,"Actor and dancer, known for breakout roles in Saturday Night Fever and Grease, and for reviving his career with Pulp Fiction.",68_batch_1.svg (https://cdn.xrp.cafe/92b546b02dd5-47d5-9193-20c96b2571d27ddcb75fd607-438f-9f40-ac16b9e5f9288fc600006217-4c61-a138-e5b786ebaa8c.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A60954272F05DE4994,NFT #68 — John Travolta,recVcR1tw9DUf9wyy,/suggest-edit?nft_number=68,,
69,Jackie Chan,,,"Martial artist and actor, known for his acrobatic fighting style, innovative stunts, and global hits like Rush Hour and Drunken Master.",69_batch_1.svg (https://cdn.xrp.cafe/b1cbfd0ac92d-45a3-a85a-2679aacd597b5f5b235cfd11-49e0-bf28-f4fae37d8b736168b25eb6e6-4383-a41f-763bbc90c1f2.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A62039F83005DE4995,NFT #69 — Jackie Chan,rec2vsZaMKLjCfUGf,/suggest-edit?nft_number=69,,
70,Samuel L. Jackson,,,"Prolific actor, known for his commanding presence, sharp dialogue, and iconic roles in Pulp Fiction and the Marvel Cinematic Universe.",70_batch_1.svg (https://cdn.xrp.cafe/3365a432ba96-42e3-823c-c2bad3624ac113ba7eb5e1e7-471d-a4f7-4548c6feb860c58c225c986c-42dc-a1a4-c9a3c82209a7.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6371FC93105DE4996,NFT #70 — Samuel L. Jackson,recP6GbtB3p3x36ES,/suggest-edit?nft_number=70,,
71,Wayne Dunafon,Marlboro Man,,,71_batch_1.svg (https://cdn.xrp.cafe/1b98c55cf73e-4e68-a829-bb77c59384160b9294644af2-4851-b545-6574fea849a815e32bd8af3c-4085-a686-e8a19e051763.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A64E059A3205DE4997,NFT #71 — Wayne Dunafon as Marlboro Man,recEeluHWwStKuqmj,/suggest-edit?nft_number=71,,
72,Clint Eastwood,,,"
Legendary actor and filmmaker, known for his “Man with No Name” roles in spaghetti westerns, his tough persona in Dirty Harry, and his acclaimed directing career.",72_batch_1.svg (https://cdn.xrp.cafe/4f030e7ce8c2-48df-92bf-48722e67ef31f38e985525db-4d35-9bc4-a9a1e9edba6151392b63dec0-42ef-8e96-055f54b6e77f.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A664EB6B3305DE4998,NFT #72 — Clint Eastwood,rec9SutTA38hqTDvX,/suggest-edit?nft_number=72,,
73,,,,,73_batch_1.svg (https://cdn.xrp.cafe/8d683b42f313-4855-a08d-18ab91b403ba0878205bbdf4-4f8a-8b2a-ec44f195b1254a48e63b1d4a-450e-b469-e3ce0ff9bb31.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A67BD13C3405DE4999,NFT #73,recD3MUtKJ2cJ6BLx,/suggest-edit?nft_number=73,,
74,Mel Gibson,,,,74_batch_1.svg (https://cdn.xrp.cafe/dad6608ad5ed-4122-9ad6-4685f588a94c9deae98b833c-4a63-8cb6-e04f696ab89018dfa09fe1fc-4ac7-9937-7e51f4ff8833.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A692B70D3505DE499A,NFT #74 — Mel Gibson,recR0VEkLFUcmU5Zm,/suggest-edit?nft_number=74,,
75,Johnny Depp,,,"Versatile actor, known for his eccentric characters in films like Edward Scissorhands and Pirates of the Caribbean, and his long-time collaboration with director Tim Burton.",75_batch_1.svg (https://cdn.xrp.cafe/dac6988bbb66-4e25-99a9-31b555c6b630d957e9b6baa9-411d-9f2d-6b28f11c9386050f6cfc9b3f-4904-bc51-77c0e3d2b3fa.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6A99CDE3605DE499B,NFT #75 — Johnny Depp,reczS1w4LQTsEkH8Z,/suggest-edit?nft_number=75,,
76,John Lennon,,,"m
Musician and peace activist, known as a founding member of The Beatles, his influential solo career, and anthems like Imagine.",76_batch_1.svg (https://cdn.xrp.cafe/46d6ffe0f4c8-4c9a-9bdc-961aa0f36efd72339994630c-4713-9fb7-72a856d2e890d9316a4a05f4-49ed-8f8c-ff922dd7db8b.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6C082AF3705DE499C,NFT #76 — John Lennon,recTNN2mgRBYIAqVQ,/suggest-edit?nft_number=76,,
77,Kevin Gates,,,"
Rapper and entrepreneur, known for his raw lyrics, Southern hip-hop style, and hit songs like 2 Phones and Really Really.
",77_batch_1.svg (https://cdn.xrp.cafe/c5a8a0792c6d-44f0-9e5e-12533b2c83c77846a4052c53-44c3-b0da-9124dfa315ec480edd25658c-4721-8c86-ddbdb554b8cb.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6D768803805DE499D,NFT #77 — Kevin Gates,rectXngK6L4JvbpVy,/suggest-edit?nft_number=77,,
78,Julius Caesar,,,"
Roman general and statesman, known for his military conquests, central role in the fall of the Roman Republic, and assassination on the Ides of March.",78_batch_1.svg (https://cdn.xrp.cafe/cbca8fdb9e13-45c4-a06e-8174ca5c77eb4a8189998248-495d-969f-10ad899789142a0ec29346cf-455e-a948-020232bb267e.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6EE4E513905DE499E,NFT #78 — Julius Caesar,recUsqCNXCTcr6F6h,/suggest-edit?nft_number=78,,
79,Will Smith,Dr. Robert Neville,I Am Legend,"A brilliant scientist and the last known human survivor in a post-apocalyptic New York, struggling to find a cure for a virus that wiped out humanity while battling loneliness and deadly infected creatures.
",79_batch_1.svg (https://cdn.xrp.cafe/e28884ecdd98-468e-945b-ae4e4e62a37514b8562a2d77-4655-bed1-bfe57c4650950b8f63cb1887-4217-b144-e653b86cca10.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A60534223A05DE499F,NFT #79 — Will Smith as Dr. Robert Neville (I Am Legend),rec0N6s5AZSuDMDuY,/suggest-edit?nft_number=79,,
80,Prince,,,,80_batch_1.svg (https://cdn.xrp.cafe/d23510bb4a7b-4940-aead-921ce85fdbb4070f4cacf543-412b-bbbd-466f831cb744613cee356f1e-464f-8649-d35356274d6f.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A61C19F33B05DE49A0,NFT #80 — Prince,rec6waNiyYgKuCn8K,/suggest-edit?nft_number=80,,
81,Jack Nickelson,Frank Costello,,"An American actor legendary for his intense, often unpredictable performances, celebrated for iconic roles in films like One Flew Over the Cuckoo’s Nest, Chinatown, and his chilling turn as Jack Torrance in The Shining.",81_batch_1.svg (https://cdn.xrp.cafe/649847b69b4e-4de6-8460-7a0ce3e6a08800b44cd38937-4a83-82c9-04c6956f008527f3a4a6bb42-4f9a-b175-13caefd11c00.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A632FFC43C05DE49A1,NFT #81 — Jack Nickelson as Frank Costello,rec4Ai8VLV2AvMoOZ,/suggest-edit?nft_number=81,,
82,Arnold Schwarzenegger,,,"
An Austrian-born bodybuilder turned Hollywood action star and former Governor of California, celebrated for his iconic roles in The Terminator series, Predator, and Total Recall, as well as his larger-than-life charisma and groundbreaking fitness legacy.
",82_batch_1.svg (https://cdn.xrp.cafe/33b21845c6cb-4001-8f4c-f8eb92f81441dd0a8b963d1c-48f7-9ddd-67034f7134c73d650a3a4983-4d46-9ce2-c9ee87634ac0.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A649E5953D05DE49A2,NFT #82 — Arnold Schwarzenegger,recPHkYVrBb1t7hPO,/suggest-edit?nft_number=82,,
83,OptiMystic Prime,,,"
Wandering hOMe Directory @wanderingfootprint Optimystic Prime the skoolie The Archers. Huckleberry To boldly go.. Into the mystic.",83_batch_1.svg (https://cdn.xrp.cafe/a26d10ab67d7-4282-9e80-ae4879f1dc7763076b96c4a6-424a-b391-16b1a7ecfe2a26277e4ee2e5-4f69-92f2-cecaccf6acf4.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A660CB663E05DE49A3,NFT #83 — OptiMystic Prime,recqYPVL27ioeZxu8,/suggest-edit?nft_number=83,,
84,Bryan Cranston,Walter White,Breaking Bad,"
A high school chemistry teacher turned methamphetamine kingpin after a cancer diagnosis, whose descent from mild-mannered family man to ruthless criminal mastermind drives the series’ gripping transformation story.",84_batch_1.svg (https://cdn.xrp.cafe/9a420b859f86-4e39-8d8b-dcb843872f3dd2baab05e064-4e42-a508-535c33dbb9f986525054dfc6-41c9-9751-68461fa6d2aa.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A677B1373F05DE49A4,NFT #84 — Bryan Cranston as Walter White (Breaking Bad),reczEFkKtu19WJ57V,/suggest-edit?nft_number=84,,
85,Bob Odenkirk,,,"An American actor, comedian, and writer best known for portraying Saul Goodman, the slick, morally flexible lawyer in Breaking Bad and its prequel Better Call Saul, a role that showcased both his sharp comedic timing and dramatic depth.",85_batch_1.svg (https://cdn.xrp.cafe/abec020937e7-4fda-9a04-57c3fa911ca7298523dbabf9-40db-981c-906ed508eb3c338d0e58687c-404e-abbe-0d99b14191a9.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A68E97084005DE49A5,NFT #85 — Bob Odenkirk,recGy7g0kgyeKSjX8,/suggest-edit?nft_number=85,,
86,Christian Bale,,,"An English actor renowned for his intense method acting and physical transformations, best known for playing Batman in The Dark Knight trilogy, as well as acclaimed roles in American Psycho, The Fighter, and Vice.
",86_batch_1.svg (https://cdn.xrp.cafe/8d6fd6a6689d-459f-a375-234862cb301b05c18c94b7a4-48c5-9274-842b9397e50c6e067605fb95-4571-bc47-39ed2fb3ed1e.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6A57CD94105DE49A6,NFT #86 — Christian Bale,recAU1rv1l7HsDmzo,/suggest-edit?nft_number=86,,
87,Kit Harington,Jon Snow,Game of Thrones,"A brooding and honorable warrior of the Night’s Watch, revealed to have a hidden Targaryen lineage, whose loyalty, resilience, and sense of duty shape the fate of Westeros.",87_batch_1.svg (https://cdn.xrp.cafe/d262b69d3a54-41c8-8c99-e490804d95b1436cde89e729-4cc6-8e03-0530a41a2cf079585d45fb30-4468-99a6-24a28a2ba9e1.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6BC62AA4205DE49A7,NFT #87 — Kit Harington as Jon Snow (Game of Thrones),recswuGkjLmJHIHwE,/suggest-edit?nft_number=87,,
88,Tupac Shakur,,,"A revolutionary West Coast rapper and actor whose albums like All Eyez on Me and songs such as Changes tackled themes of racism, poverty, and violence, while his activism and charisma cemented him as a voice for the marginalized before his tragic death at 25.",88_batch_1.svg (https://cdn.xrp.cafe/bde910de7032-47cb-88eb-49251b2e5191d8de8c92d2f2-477d-a883-9521892573077bce9bcb0a18-48e1-ab0a-d49e26a972b7.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6D3487B4305DE49A8,NFT #88 — Tupac Shakur,recc5osidJ64rfsJr,/suggest-edit?nft_number=88,,
89,Robert Downey Jr.,,,"An American actor celebrated for his dramatic comeback and iconic role as Tony Stark/Iron Man in the Marvel Cinematic Universe, blending wit, charisma, and vulnerability into one of Hollywood’s most defining performances.",89_batch_1.svg (https://cdn.xrp.cafe/8fb8197a6483-4676-b41f-fed283cbc3a0728b8c17e206-436f-8bd3-e021bc07521c1d919aa83a97-4255-9c2d-551c4fb9ab67.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6EA2E4C4405DE49A9,NFT #89 — Robert Downey Jr.,recylDnNP8pgLlhOS,/suggest-edit?nft_number=89,,
90,,,,,90_batch_1.svg (https://cdn.xrp.cafe/3ca977c41304-4d86-bf69-a53b7d6e505c56ad0c4af764-445c-8b3b-017ef8412c68d42f8ddd098f-42d3-acba-82d2471e2ab1.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A601141D4505DE49AA,NFT #90,recXRfzPRgv5kESJ3,/suggest-edit?nft_number=90,,
91,Johnathan Goldsmith,,,"An American actor best known for portraying “The Most Interesting Man in the World” in Dos Equis beer commercials, where his suave charisma and adventurous persona made him a cultural icon.
",91_batch_1.svg (https://cdn.xrp.cafe/85b8b198d4a2-476b-8ea8-db015a93858fa9e7a0226f27-4b06-8ccf-7bbfaf82f98681a664075f85-46fa-92a5-2878478a1773.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A617F9EE4605DE49AB,NFT #91 — Johnathan Goldsmith,recjp371BfxO8uSnH,/suggest-edit?nft_number=91,,
92,Giancarlo Esposito,,,"
An acclaimed actor, best known for his chilling, calculated portrayal of Gus Fring in Breaking Bad and Better Call Saul, earning a reputation as one of TV’s greatest villains.",92_batch_1.svg (https://cdn.xrp.cafe/ce1ae586e638-48dd-82fd-10fd7e21b327c3adaf90d4ca-4d0c-b480-09e6539397c1d5de2fededb2-40ba-b16c-72c25e9a614c.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A62EDFBF4705DE49AC,NFT #92 — Giancarlo Esposito,recrxWyHN4TSJ4Ss7,/suggest-edit?nft_number=92,,
93,Matthew McConaughey,,,"Academy Award–winning actor, admired for his charismatic performances and famous “McConaissance,” with standout roles in Dallas Buyers Club and True Detective.",93_batch_1.svg (https://cdn.xrp.cafe/1acd7804988b-4cac-a080-addeeee0df95bd5570c73fa4-4197-a733-955d4279ffc163e51bfab969-41f8-974d-7b1a5d6f0c9b.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A645C5904805DE49AD,NFT #93 — Matthew McConaughey,recnx9LSnIt5HA4Ei,/suggest-edit?nft_number=93,,
94,Bradley Cooper,,,"An acclaimed actor and filmmaker, celebrated for roles in The Hangover and A Star Is Born, known for his versatility, emotional depth, and multiple Oscar nominations.",94_batch_1.svg (https://cdn.xrp.cafe/477d59a3f89c-42cb-a25f-4d0cda7792c70fecd11dadd8-4ee6-8ca1-0d745834be56935241aee5a1-458e-9b87-4ba9284f7162.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A67391324A05DE49AF,NFT #94 — Bradley Cooper,recvQ4SwcM89iGKN2,/suggest-edit?nft_number=94,,
95,Cillian Murphy,Thomas Shelby,Peaky Blinders,A brilliant yet ruthless leader who built an empire while battling inner demons in Peaky Blinders.,95_batch_1.svg (https://cdn.xrp.cafe/3e3ed73f27ba-4586-b1d2-8b9673305bfd6c01a36ae523-43cc-864f-00da9e862e973b20d0bf2194-43ce-a88f-61604eede82d.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A65CAB614905DE49AE,NFT #95 — Cillian Murphy as Thomas Shelby (Peaky Blinders),rec2upYsRmykXzP6L,/suggest-edit?nft_number=95,"""""""Everyone's a whore, Grace. We just sell different parts of ourselves"""".""",
96,Jim Sturgess,Ben Campbell,21,"
A gifted MIT student whose brilliance in math pulls him into a high-stakes world of card counting in Las Vegas, torn between the thrill of winning and the weight of choices that threaten to consume his future.",98_batch_1.svg (https://cdn.xrp.cafe/35a777feaaa8-4af2-b66d-9148a827be47cf54ec8c8722-4113-8a93-6e15195c5580a460183710b3-4907-9b2e-11937935ae25.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6B842A54D05DE49B2,NFT #98 — Jim Sturgess  as Ben Campbell (21),recD36Z1LhjNLs8Zm,/suggest-edit?nft_number=98,,
97,,,,,97_batch_1.svg (https://cdn.xrp.cafe/906151c4d448-4049-a212-462405117875feac73ba51d8-491d-b417-ae4b7a8a2c1566ebe31ec11e-43e7-9b04-2e8470093b11.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6A15CD44C05DE49B1,NFT #97,recZRnRQERru6r6tL,/suggest-edit?nft_number=97,,
98,Heath Ledger,The Joker,,"
A tragic figure behind the mask of a chaotic criminal mastermind—driven by pain, isolation, and a twisted need to show the world its own fragility, making his descent into madness both terrifying and heartbreakingly human.",99_batch_1.svg (https://cdn.xrp.cafe/d6f9475b73a2-4e01-82ee-e2d24c2f0b9a26d8c60eb69c-4d00-83fc-10f741cf626f96d0d6b836b3-4bdb-b158-343935fb47bd.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6CF28764E05DE49B3,NFT #99 — Heath Ledger as The Joker,rec5uBLQqt30aU310,/suggest-edit?nft_number=99,,
99,Donald Trump,,,"Businessman and 45th President of the United States, known for his real estate empire, reality TV fame with The Apprentice, and a highly polarizing political career.",96_batch_1.svg (https://cdn.xrp.cafe/67a88109006e-48fe-b68c-e6cd1203496167327a3343b5-44b6-94b6-78dc46822183e1918c5bcb9a-4b9f-986e-a5bc69008cc0.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A68A77034B05DE49B0,NFT #96 — Donald Trump,recbBIZrmtmswlCAk,/suggest-edit?nft_number=96,,
100,The Notorious B.I.G.,Rapper,,"Legendary rapper, known for his storytelling flow, East Coast anthems like Juicy and Big Poppa, and his lasting influence on hip-hop culture.",100_batch_1.svg (https://cdn.xrp.cafe/ad5962b1d6e3-4f78-bee1-f58e6e61706699422943afe9-4b6e-8f00-7ef0d7387860c3db583afd82-46e2-a973-29d9b0f78734.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6E60E474F05DE49B4,NFT #100 — The Notorious B.I.G. as Rapper,recjYQaxISPMJKz0x,/suggest-edit?nft_number=100,,
101,Stone,,,,1_batch_2.svg (https://cdn.xrp.cafe/a184c13ea7d2-4b6b-ad81-787aba9edaf8f5a3d993a48b-4645-a9d2-90f5b0bbcbf8b49db6887ef4-4f74-9352-4911b3ce7479.webp),https://xrp.cafe/nft/00082710BFE7D812253DBFECBB428D7917A13A11A4A103A6FCF4185005DE49B5,NFT #101 — Stone,,/suggest-edit?nft_number=101,,
